FishID,Arm 1,Arm 2,Total Time in Both Arms,Trm1,Trm2
917032,30.0,7.5,37.5,+P,-
917100,30.0,4.1,34.1,+P,-
917196,30.0,4.5,34.5,+P,-
917072,30.0,3.6,33.6,+P,-
917243,30.0,0.0,30.0,+P,-
917069,30.0,0.0,30.0,+P,-
917123,30.0,5.1,35.1,+P,-
917140,30.0,6.9,36.9,+P,-
917183,12.3,29.9,42.2,-,+P
917197,30.0,7.2,37.2,-,+P
917024,30.0,6.0,36.0,-,+P
917240,12.8,27.2,40.0,-,+P
917198,9.9,30.0,39.9,-,+P
917052,22.7,23.8,46.5,-,+P
NPT L,1.4,30.0,31.4,-,+P
NPT M,1.9,30.0,31.9,-,+P
917132,0.8,30.0,30.8,-,+P
917129,9.0,30.0,39.0,-,+P
917193,6.2,30.0,36.2,-,+P
917144,4.8,30.0,34.8,-,+P
917158,28.3,29.6,57.9,-,+P
917074,5.9,30.0,35.9,-,+P
917073,5.7,30.0,35.7,-,+P
917055,1.8,30.0,31.8,-,+P
917174,0.0,30.0,30.0,-,+P
917003,0.1,30.0,30.1,-,+P
917092,15.7,30.0,45.7,-,+P
917047,30.0,1.4,31.4,-,+P
NPT M,30.0,8.0,38.0,+C,-
917183,30.0,0.0,30.0,+C,-
917158,30.0,0.2,30.2,+C,-
917100,0.0,30.0,30.0,+C,-
NPT L,30.0,0.0,30.0,+C,-
917144,30.0,0.0,30.0,+C,-
917240,30.0,5.2,35.2,+C,-
917129,27.8,16.9,44.7,+C,-
917030,30.0,1.1,31.1,+C,-
917178,30.0,5.4,35.4,+C,-
917168,30.0,0.5,30.5,+C,-
917008,30.0,27.8,57.8,+C,-
917142,30.0,0.0,30.0,+C,-
917209,30.0,8.6,38.6,+C,-
917106,3.7,30.0,33.7,+C,-
917032,30.0,0.0,30.0,+C,-
917052,18.5,19.4,37.9,-,+C
917074,3.9,30.0,33.9,-,+C
917123,1.5,30.0,31.5,-,+C
917055,4.2,30.0,34.2,-,+C
917073,30.0,4.9,34.9,-,+C
917174,1.7,30.0,31.7,-,+C
917197,5.3,30.0,35.3,-,+C
917003,21.1,30.0,51.1,-,+C
917219,10.6,30.0,40.6,-,+C
NPT S,5.9,30.0,35.9,-,+C
917125,13.2,30.0,43.2,-,+C
917024,23.0,26.8,49.8,-,+C
917014,7.3,30.0,37.3,-,+C
NPT L,7.0,30.0,37.0,-,+C
917130,30.0,11.8,41.8,-,+C
917024,30.0,7.9,37.9,+P,+C
917123,30.0,11.8,41.8,+P,+C
917125,30.0,4.6,34.6,+P,+C
917129,30.0,1.5,31.5,+P,+C
917174,30.0,0.2,30.2,+P,+C
917158,30.0,4.4,34.4,+P,+C
917240,30.0,3.9,33.9,+P,+C
917072,30.0,4.8,34.8,+P,+C
917209,12.9,30.0,42.9,+P,+C
917193,26.0,23.9,49.9,+P,+C
917052,18.3,17.6,35.9,+P,+C
917178,30.0,22.2,52.2,+P,+C
917144,7.1,30.0,37.1,+P,+C
917092,17.5,29.6,47.1,+P,+C
917243,30.0,4.8,34.8,+P,+C
NPT S,30.0,8.0,38.0,+P,+C
917100,0.3,30.0,30.3,+C,+P
917196,16.1,27.1,43.2,+C,+P
917198,26.6,15.5,42.1,+C,+P
917142,30.0,3.0,33.0,+C,+P
917047,30.0,5.2,35.2,+C,+P
917055,30.0,16.3,46.3,+C,+P
917069,4.1,26.2,30.3,+C,+P
917168,30.0,3.2,33.2,+C,+P
917183,22.7,22.2,44.9,+C,+P
917132,27.3,25.8,53.1,+C,+P
917032,30.0,17.9,47.9,+C,+P
917008,3.5,30.0,33.5,+C,+P
NPT L,2.7,30.0,32.7,+C,+P
NPT M,5.6,30.0,35.6,+C,+P
917197,24.0,17.8,41.8,+C,+P
917055,30.0,0.0,30.0,-,-
917125,30.0,2.8,32.8,-,-
917092,2.0,30.0,32.0,-,-
917129,30.0,6.2,36.2,-,-
917168,18.6,26.8,45.4,-,-
917106,19.6,18.7,38.3,-,-
917003,18.5,26.8,45.3,-,-
917140,30.0,2.0,32.0,-,-
917119,12.4,27.0,39.4,-,-
917069,20.5,18.3,38.8,-,-
917196,7.1,28.9,36.0,-,-
917072,16.3,24.3,40.6,-,-
917197,30,2.6,32.6,-,-
917014,26,12.3,38.3,-,-
NPT L,0.4,30.0,30.4,-,-
917052,30.0,14.6,44.6,-,-
917032,30.0,8.0,38.0,-,-
917008,21.9,22.3,44.2,-,-
917132,14.8,24.6,39.4,-,-
917073,13.6,23.1,36.7,-,-
917178,18.3,17.4,35.7,-,-
917100,16.6,24.0,40.6,-,-
917142,0.1,30.0,30.1,-,-
917174,30.0,0.3,30.3,-,-
917198,30.0,6.1,36.1,-,-
917030,22.7,18.8,41.5,-,-
NPT M,0.0,30,30.0,-,-
